name,repo_relative_path,size_mb,file_count,last_write_time,retention_decision,retention_reason
yolof_oof_folds_train5_20260704,runs\yolof_oof_folds_train5_20260704,2547.804,96774,2026-07-04T18:50:54,KEEP_LIVE,current grouped yolo_f OOF materialization for fold-safe diagnostics
probe_v8_yolof_pairroute_teacherfocusbinary015_boundarydrop_bboxprior_120b_2e_20260701,runs\probe_v8_yolof_pairroute_teacherfocusbinary015_boundarydrop_bboxprior_120b_2e_20260701,347.008,460,2026-07-01T23:18:37,KEEP_LIVE,best no-pretrain TRKH validation anchor and checkpoint
full_v8_yolof_current_best_30e_20260714_103052,runs\full_v8_yolof_current_best_30e_20260714_103052,295.36,167,2026-07-14T10:42:17,REVIEW_REQUIRED,not automatically classified; keep until manually audited
full_v8_yolof_randominit_30e_20260714_105524,runs\full_v8_yolof_randominit_30e_20260714_105524,292.253,1860,2026-07-14T12:28:17,REVIEW_REQUIRED,not automatically classified; keep until manually audited
audit_vca_matched_smoke_pair_20260714,runs\audit_vca_matched_smoke_pair_20260714,250.157,1130,2026-07-15T01:09:51,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_late_member_and_stitch_rejected_20260714,runs\evidence_late_member_and_stitch_rejected_20260714,165.424,1304,2026-07-14T17:43:57,KEEP_COMPACT_EVIDENCE,compacted evidence root
aidt_features_classf_train_20260702,runs\aidt_features_classf_train_20260702,118.659,8,2026-07-02T18:41:56,KEEP_TEACHER_DIAGNOSTIC,external/teacher diagnostic or comparison artifact
audit_octave_conv_matched_smoke_pair_20260715,runs\audit_octave_conv_matched_smoke_pair_20260715,109.374,649,2026-07-15T10:34:18,REVIEW_REQUIRED,not automatically classified; keep until manually audited
audit_starnet_s2_matched_smoke_pair_20260715,runs\audit_starnet_s2_matched_smoke_pair_20260715,107.375,649,2026-07-15T04:37:07,REVIEW_REQUIRED,not automatically classified; keep until manually audited
audit_inceptionnext_atto_matched_smoke_pair_20260715,runs\audit_inceptionnext_atto_matched_smoke_pair_20260715,107.048,649,2026-07-15T03:08:39,REVIEW_REQUIRED,not automatically classified; keep until manually audited
diagnostic_interior_secondorder_rank24_erode020_full_train_val_20260711,runs\diagnostic_interior_secondorder_rank24_erode020_full_train_val_20260711,99.226,8,2026-07-11T11:06:39,KEEP_RECENT_DIAGNOSTIC_OR_REVIEW,diagnostic/review artifact; keep unless a later audit supersedes it
soup_v8_yolof_top2_teacherfocus_distill_20260701,runs\soup_v8_yolof_top2_teacherfocus_distill_20260701,85.703,11,2026-07-01T22:59:02,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_gabor_lho_fcm_rejected_20260715,runs\evidence_gabor_lho_fcm_rejected_20260715,81.187,679,2026-07-15T07:00:10,KEEP_COMPACT_EVIDENCE,compacted evidence root
router_exports_no_pretrain_20260701,runs\router_exports_no_pretrain_20260701,73.659,156,2026-07-01T16:27:22,KEEP_TEACHER_DIAGNOSTIC,external/teacher diagnostic or comparison artifact
audit_active_gabor_semantic_fusion_matched_smoke_pair_20260715,runs\audit_active_gabor_semantic_fusion_matched_smoke_pair_20260715,71.569,875,2026-07-15T08:46:46,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_classcondaug_c1s05_rejected_20260712,runs\evidence_classcondaug_c1s05_rejected_20260712,69.575,640,2026-07-12T15:26:25,KEEP_COMPACT_EVIDENCE,compacted evidence root
xai_patch_evidence_mil_yolof_keeper_01only_test_changed11_20260703,runs\xai_patch_evidence_mil_yolof_keeper_01only_test_changed11_20260703,67.425,119,2026-07-03T15:16:03,KEEP_XAI_REVIEW,XAI or visual review evidence
evidence_trkh_leff1234_scratch_5e_reject_20260711,runs\evidence_trkh_leff1234_scratch_5e_reject_20260711,60.839,591,2026-07-11T16:47:48,KEEP_COMPACT_EVIDENCE,compacted evidence root
deploy_precision_ensemble_trt_fp32_auditoutputs_o0_preflight_20260714,runs\deploy_precision_ensemble_trt_fp32_auditoutputs_o0_preflight_20260714,60.025,3,2026-07-14T19:38:29,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_trkh_concurrent_localglobal_scratch_5e_reject_20260711,runs\evidence_trkh_concurrent_localglobal_scratch_5e_reject_20260711,58.949,601,2026-07-11T17:27:05,KEEP_COMPACT_EVIDENCE,compacted evidence root
deploy_precision_ensemble_onnx_auditoutputs_preflight_20260714,runs\deploy_precision_ensemble_onnx_auditoutputs_preflight_20260714,58.209,2,2026-07-14T19:35:28,REVIEW_REQUIRED,not automatically classified; keep until manually audited
precision_ensemble_checkpoint_preflight_20260714,runs\precision_ensemble_checkpoint_preflight_20260714,55.453,2,2026-07-14T18:10:14,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_mambavision_nano_yolof_scratch_5e_reject_20260712,runs\evidence_mambavision_nano_yolof_scratch_5e_reject_20260712,46.229,316,2026-07-12T12:00:39,KEEP_COMPACT_EVIDENCE,compacted evidence root
evidence_friendly_foreground_adversarial_w005_smoke_reject_20260712,runs\evidence_friendly_foreground_adversarial_w005_smoke_reject_20260712,44.889,348,2026-07-12T13:30:31,KEEP_COMPACT_EVIDENCE,compacted evidence root
evidence_deep_abstention_w015_a130_reject_20260711,runs\evidence_deep_abstention_w015_a130_reject_20260711,41.001,425,2026-07-11T16:12:25,KEEP_COMPACT_EVIDENCE,compacted evidence root
worktree_hygiene_baseline_20260711,runs\worktree_hygiene_baseline_20260711,40.978,44,2026-07-11T20:00:36,REVIEW_REQUIRED,not automatically classified; keep until manually audited
audit_gabor_lho_fcm_rngneutral_matched_smoke_pair_20260715,runs\audit_gabor_lho_fcm_rngneutral_matched_smoke_pair_20260715,40.411,515,2026-07-15T06:39:39,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_active_gabor_semantic_fusion_rejected_20260715,runs\evidence_active_gabor_semantic_fusion_rejected_20260715,39.56,326,2026-07-15T08:54:48,KEEP_COMPACT_EVIDENCE,compacted evidence root
smoke_joint_spatial_pcgrad_normalized_macrostep_s12_20260712,runs\smoke_joint_spatial_pcgrad_normalized_macrostep_s12_20260712,38.865,493,2026-07-12T02:53:46,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_octave_conv_stem_rejected_20260715,runs\evidence_octave_conv_stem_rejected_20260715,37.723,326,2026-07-15T10:37:25,KEEP_COMPACT_EVIDENCE,compacted evidence root
evidence_starnet_s2_matched_smoke_rejected_20260715,runs\evidence_starnet_s2_matched_smoke_rejected_20260715,37.696,326,2026-07-15T04:41:11,KEEP_COMPACT_EVIDENCE,compacted evidence root
evidence_inceptionnext_atto_matched_smoke_rejected_20260715,runs\evidence_inceptionnext_atto_matched_smoke_rejected_20260715,37.535,326,2026-07-15T03:12:05,KEEP_COMPACT_EVIDENCE,compacted evidence root
evidence_legacy_selectors_posthoc_20260706,runs\evidence_legacy_selectors_posthoc_20260706,34.825,79,2026-07-06T21:38:19,KEEP_COMPACT_EVIDENCE,compacted legacy selector/posthoc evidence root
efficientnetv2_s_features_yolof_train_20260704,runs\efficientnetv2_s_features_yolof_train_20260704,33.305,4,2026-07-04T00:15:06,KEEP_TEACHER_DIAGNOSTIC,external/teacher diagnostic or comparison artifact
evidence_stagewise_mbconv_stem_scratch_5e_reject_20260711,runs\evidence_stagewise_mbconv_stem_scratch_5e_reject_20260711,32.888,437,2026-07-11T15:10:35,KEEP_COMPACT_EVIDENCE,compacted evidence root
audit_patch_style_srm_readiness_20260715_stage_a_retry1,runs\audit_patch_style_srm_readiness_20260715_stage_a_retry1,31.684,7,2026-07-15T12:57:14,REVIEW_REQUIRED,not automatically classified; keep until manually audited
audit_xca_dual_axis_readiness_20260715_stage_a,runs\audit_xca_dual_axis_readiness_20260715_stage_a,30.596,5,2026-07-15T11:21:14,REVIEW_REQUIRED,not automatically classified; keep until manually audited
xai_tta_entropy_yolof_keeper_layernorm_headbias_lr1e5_conf30_frac50_val_selected12_20260704,runs\xai_tta_entropy_yolof_keeper_layernorm_headbias_lr1e5_conf30_frac50_val_selected12_20260704,29.392,11,2026-07-05T10:32:28,KEEP_XAI_REVIEW,XAI or visual review evidence
pretrained_expert_predictions_5class,runs\pretrained_expert_predictions_5class,28.735,60,2026-06-11T19:32:22,KEEP_TEACHER_DIAGNOSTIC,external/teacher diagnostic or comparison artifact
boundary_review_cartography_v8_train_20260627,runs\boundary_review_cartography_v8_train_20260627,26.688,286,2026-06-27T20:57:20,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_compacthybrid_coatnet_nano_yolof_scratch_15e_reject_20260711,runs\evidence_compacthybrid_coatnet_nano_yolof_scratch_15e_reject_20260711,25.89,320,2026-07-11T14:19:06,KEEP_COMPACT_EVIDENCE,compacted evidence root
audit_feature_basis_stitching_full_5fold_20260714,runs\audit_feature_basis_stitching_full_5fold_20260714,25.88,8,2026-07-14T17:40:28,REVIEW_REQUIRED,not automatically classified; keep until manually audited
neighbor_teacher_refine_proto_20260627,runs\neighbor_teacher_refine_proto_20260627,25.662,12,2026-06-27T13:47:41,REVIEW_REQUIRED,not automatically classified; keep until manually audited
imported_timm_mobilenetv3_classf_20260627,runs\imported_timm_mobilenetv3_classf_20260627,23.173,24,2026-06-27T11:41:56,REVIEW_REQUIRED,not automatically classified; keep until manually audited
evidence_legacy_quality_boundary_reviews_20260706,runs\evidence_legacy_quality_boundary_reviews_20260706,20.364,57,2026-07-06T21:35:52,KEEP_COMPACT_EVIDENCE,compacted legacy quality/boundary review evidence root
evidence_bbox_token_label_rejected_20260705,runs\evidence_bbox_token_label_rejected_20260705,19.974,315,2026-07-05T04:18:37,KEEP_COMPACT_EVIDENCE,compacted evidence root
yolo_source_context_oof_class1_boundary_review_20260628,runs\yolo_source_context_oof_class1_boundary_review_20260628,19.622,163,2026-06-28T00:36:57,REVIEW_REQUIRED,not automatically classified; keep until manually audited
